"location_actividad","tags_categorias_actividades","name_actividad"
",","Bares y discotecas,Discotecas y clubes de baile,Vida nocturna","Volcan Bar Disc"
"-79.003525,-2.898797","Bares y discotecas,Vida nocturna","Restaurant Indigo"
"-78.48481,-0.193076","Discotecas y clubes de baile,Vida nocturna","Blues"
",","Bares y discotecas,Vida nocturna","Amauta Pena Bar"
"-79.20067,-3.991223","Discotecas y clubes de baile,Vida nocturna","D LEY T Disco Bar"
",","Bares y discotecas,Vida nocturna","Due2bar"
",","Bares y discotecas,Vida nocturna","La Casettera Retro Bar"
",","Bares y discotecas,Vida nocturna","Viejo Minero"
",","Bares y discotecas,Vida nocturna","Jungle Bar"
"-78.42215,-1.397579","Bares y discotecas,Vida nocturna","Jack Rock Cafe"
",","Bares y discotecas,Vida nocturna","Pipas Bar"
"-79.00911,-2.89757","Bares y discotecas,Vida nocturna","Paris Bar & Lounge"
"-80.75379,-1.827237","Bares y discotecas,Discotecas y clubes de baile,Vida nocturna","Nativa Bambu Disco"
",","Bares y discotecas,Vida nocturna","Beto's Beach Bar"
"-78.49001,-0.203374","Bares y discotecas,Vida nocturna","Bungalow 6"
"-78.49021,-0.208105","Bares y discotecas,Vida nocturna","Strawberry Fields"
"-78.422195,-1.396532","Bares y discotecas,Vida nocturna","Goodbar"
"-80.46319,-1.050836","Bares y discotecas,Vida nocturna","La Trova Bar Gourmet"
",","Cafeterias,Vida nocturna","Khipus Artesanias Choco-Cafe"
"-78.50718,-0.22101","Tours nocturnos,Tours de bares, discotecas y pubs,Tours,Vida nocturna","Pub Crawl Quito"
"-79.20149,-3.983546","Bares y discotecas,Vida nocturna","Zarza Brewing Co."
"-78.49091,-0.203897","Bares y discotecas,Vida nocturna","Finn McCools"
"-78.422226,-1.396577","Bares y discotecas,Vida nocturna","Leprechuan Bar"
"-78.263695,0.222342","Clases y talleres","Ailola Otavalo - Day Class"
"-79.01261,-2.905657","Clases de cocina,Comida y bebida,Clases y talleres","Cook Life"
"-79.01072,-2.897497","Clases y talleres","Gato Alado Project"
"-80.453415,-0.464393","Tours culturales,Actividades al aire libre,Clases y talleres,Tours","Casa Caracol"
"-78.50737,-0.218003","Clases y talleres","ISE Instituto Superior de Espanol"
",","Clases y talleres","Outdoor Ecuador Spanish School"
"-80.7667,-1.76667","Yoga y pilates,Clases y talleres,Tours,Actividades al aire libre,Spas y centros de bienestar,Tours en barco y deportes acuaticos","Otra Ola"
"-78.489296,-0.205242","Clases y talleres","Simon Bolivar Spanish School"
",","Clases y talleres","Ailola Quito Spanish School Day Class"
",","Teatros,Teatros donde se puede cenar,Conciertos y espectaculos","Teatro Imay"
"-78.12549,0.384985","Teatro y espectaculos,Conciertos y espectaculos","Cafe Arte Ibarra"
",","Teatros,Conciertos y espectaculos","Teatro El Angel"
",","Teatros donde se puede cenar,Conciertos y espectaculos","Likapaay Kusina Show"
"-78.47684,-0.181807","Bares y discotecas,Clubs y bares de blues,Comida y bebida,Vida nocturna,Conciertos y espectaculos","Chosen Bar"
"-78.438675,-0.150562","Teatros,Teatro y espectaculos,Conciertos y espectaculos","Estudio de Actores"
"-78.51113,-0.22232","Teatros,Conciertos y espectaculos","Teatro Bolivar"
"-78.495415,-0.209934","Teatro y espectaculos,Teatros,Conciertos y espectaculos","Jacchigua"
"-78.49743,-0.206479","Teatro y espectaculos,Conciertos y espectaculos","Patio de Comedias"
"-79.86949,-2.148988","Teatro y espectaculos,Conciertos y espectaculos","Supercines"
",","Teatros,Conciertos y espectaculos","Teatro Sucre"
"-79.867,-2.142","Teatros,Conciertos y espectaculos","Teatro Sanchez Aguilar"
"-79.00451,-2.900094","Clubs y bares de jazz,Conciertos y espectaculos,Vida nocturna","Jazz Society Cafe"
"-78.501884,-0.183849","Teatros,Conciertos y espectaculos","Casa de la Musica"
"-78.367195,-1.398126","Parques tematicos,Parques acuaticos y de diversiones","Discovery Banos"
"-78.41938,-1.400475","Parques acuaticos y de diversiones","Piscina Santa Clara"
"-78.41985,-0.168483","Parques tematicos,Parques acuaticos y de diversiones","Nayon Xtreme Valley"
",","Centros de conferencias y convenciones,Recursos para viajeros","Cemexpo"
",","Centros de informacion turistica,Recursos para viajeros","Guia de Banos"
",","Centros de informacion turistica,Recursos para viajeros","Itay Tourist Information"
"-79.884155,-2.19447","Iglesias y catedrales,Atracciones y lugares de interes","Catedral Metropolitana de Guayaquil"
"-78.42101,-1.397217","Lugares religiosos y sagrados,Atracciones y lugares de interes","Church of the Virgin of the Holy Water (Nuestra Senora del Agua Santa)"
"-78.5142,-0.220278","Edificios con valor arquitectonico,Lugares religiosos y sagrados,Atracciones y lugares de interes","Catedral de Quito (La Catedral)"
"-78.87486,-2.539753","Ruinas antiguas,Lugares historicos,Atracciones y lugares de interes","Ingapirca Ruins"
",","Granjas,Ranchos,Atracciones y lugares de interes","Hacienda La Danesa"
",","Lugares educativos,Atracciones y lugares de interes","Montanita Spanish School - Day Classes"
"-78.51848,-0.228877","Monumentos y estatuas,Atracciones y lugares de interes","Panecillo"
"-78.45543,-0.002188","Monumentos y lugares de interes,Museos de historia,Museos,Atracciones y lugares de interes","Mitad del Mundo"
"-79.01,-2.922374","Iglesias y catedrales,Atracciones y lugares de interes","Mirador de Turi"
"-78.51535,-0.220977","Monumentos y lugares de interes,Atracciones y lugares de interes","Plaza de San Francisco"
"-78.518616,-0.230386","Monumentos y lugares de interes,Atracciones y lugares de interes","El Panecillo"
"-90.31213,-0.743533","Monumentos y lugares de interes,Atracciones y lugares de interes","Santa Cruz Fish Market"
"-78.42647,-1.418631","Miradores,Monumentos y lugares de interes,Atracciones y lugares de interes","La casa del Arbol - Mirador"
"-78.51251,-0.219698","Edificios con valor arquitectonico,Atracciones y lugares de interes","Palacio de Gobierno"
"-79.004944,-2.897759","Monumentos y lugares de interes,Atracciones y lugares de interes","Plaza Abdon Calderon"
"-79.87552,-2.181048","Vecindarios,Atracciones y lugares de interes","Cerro Santa Ana"
"-78.51472,-0.223917","Lugares educativos,Atracciones y lugares de interes","Calle La Ronda"
"-78.51216,-0.220067","Monumentos y lugares de interes,Atracciones y lugares de interes","Plaza de la Independencia (Plaza Grande)"
",","Monumentos y lugares de interes,Atracciones y lugares de interes","Parque Historico"
"-79.87957,-2.192544","Muelles y paseos peatonales,Atracciones y lugares de interes","Malecon 2000"
"-79.875534,-2.182113","Vecindarios,Atracciones y lugares de interes","Las Penas"
"-79.870544,-2.144917","Monumentos y lugares de interes,Atracciones y lugares de interes","Parque Historico Guayaquil"
"-79.00488,-2.897458","Lugares religiosos y sagrados,Edificios con valor arquitectonico,Atracciones y lugares de interes","Catedral de la Immaculada (Catedral Nueva)"
"-78.51474,-0.220606","Edificios con valor arquitectonico,Lugares religiosos y sagrados,Atracciones y lugares de interes","Iglesia de San Francisco"
